***Attendance Sheet for exams
**Organized by cs4
*Date: Tue Jun 08 2021
Name, Time                , Rfid                
Benefo,  7:17:52 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:17:52 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:17:52 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:18:08 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:26:17 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:26:17 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:26:17 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:26:17 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:26:17 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:27:29 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:27:29 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:27:46 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:30:59 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:30:59 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:30:59 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:31:34 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:31:34 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:32:09 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:32:09 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:36:30 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:36:30 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:36:30 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:45:51 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:45:51 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:45:51 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:45:51 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:47:28 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:47:28 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:47:28 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:48:06 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:49:50 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:52:09 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:52:09 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:52:09 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:52:16 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:53:32 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  7:54:10 am, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:10:45 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:11:12 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:12:50 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:13:16 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:13:43 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:14:32 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:14:57 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:16:28 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:18:20 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:18:52 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:19:02 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:19:25 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:19:57 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:20:17 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:20:42 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:21:36 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:22:21 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:22:31 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:23:01 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:23:05 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:23:17 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:24:11 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:52:31 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:52:31 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:52:31 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:52:31 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:52:31 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:52:31 pm, @bbbbbbbbbbbbbbbbbbbbbb01
Benefo,  1:52:31 pm, @bbbbbbbbbbbbbbbbbbbbbb01
